"id","createdAt","updatedAt","label","acrofieldlabel","type","formId","sectionId","excluded","partialLabel","apiName","order","parentId","custom","description","showGroupLabel","uuid","height","page","width","x","y","unifiedFieldId","hidden","toggleDescription"
836504,"2024-02-19 20:39:15.485","2024-05-17 07:00:16.591","Address","contingent-benficiary_address","TextField",1047,1826,FALSE,"contingent-benficiary_address","contingent-benficiary_address",3,,FALSE,,FALSE,"ff087b5c-e2cc-4f70-9a85-be0f2c01dc8b",17,0,244,68,426,,FALSE,FALSE
836509,"2024-02-19 20:39:15.485","2024-05-17 07:00:16.591","Gender","contingent-benficiary_gender","TextField",1047,1826,FALSE,"contingent-benficiary_gender","contingent-benficiary_gender",12,,FALSE,,FALSE,"f7ad6afb-74e5-4a85-ae51-912aaf7768de",17,0,56,406,372,,FALSE,FALSE
836510,"2024-02-19 20:39:15.485","2024-05-17 07:00:16.591","Address 2","contingent-benficiary_address-2","TextField",1047,1826,FALSE,"contingent-benficiary_address-2","contingent-benficiary_address-2",4,,FALSE,,FALSE,"1b65a367-74f2-4d81-9edb-af3bf82a29b1",17,0,244,68,408,,FALSE,FALSE
836511,"2024-02-19 20:39:15.485","2024-05-17 07:00:16.591","Date of Birth","contingent-benficiary_DOB","TextField",1047,1826,FALSE,"contingent-benficiary_DOB","contingent-benficiary_dob",8,,FALSE,,FALSE,"4d69d700-de95-4350-9633-44b392b32d42",17,0,185,406,426,,FALSE,FALSE
836512,"2024-02-19 20:39:15.485","2024-05-17 07:00:16.591","Percentage","contingent-benficiary_percentage","TextField",1047,1826,FALSE,"contingent-benficiary_percentage","contingent-benficiary_percentage",13,,FALSE,,FALSE,"34102210-0b26-4244-8b7f-896a9df5b031",17,0,87,504,372,,FALSE,FALSE
836514,"2024-02-19 20:39:15.485","2024-05-17 07:00:16.591","SSN","contingent-benficiary_SSN","TextField",1047,1826,FALSE,"contingent-benficiary_SSN","contingent-benficiary_ssn",9,,FALSE,,FALSE,"db86f3f0-2d90-423d-93dc-a0532201baa4",17,0,185,406,408,,FALSE,FALSE
836515,"2024-02-19 20:39:15.485","2024-05-17 07:00:16.591","City","contingent-benficiary_city","TextField",1047,1826,FALSE,"contingent-benficiary_city","contingent-benficiary_city",5,,FALSE,,FALSE,"2a3f57a7-63e7-48ff-bb7d-b50f6ba3376b",17,0,71,68,390,,FALSE,FALSE
836518,"2024-02-19 20:39:15.486","2024-05-17 07:00:16.591","State","contingent-benficiary_state","TextField",1047,1826,FALSE,"contingent-benficiary_state","contingent-benficiary_state",6,,FALSE,,FALSE,"82dfcb0d-d46f-458f-a9d3-d9a5cf01a4d3",17,0,19,184,390,,FALSE,FALSE
836520,"2024-02-19 20:39:15.486","2024-05-17 07:00:16.591","ZIP Code","contingent-benficiary_ZIP","TextField",1047,1826,FALSE,"contingent-benficiary_ZIP","contingent-benficiary_zip",7,,FALSE,,FALSE,"0bf3be4a-9c21-49fb-a416-c56ca6cd91bc",17,0,58,254,390,,FALSE,FALSE
836521,"2024-02-19 20:39:15.486","2024-05-17 07:00:16.591","Phone Number","contingent-benficiary_phone-number","TextField",1047,1826,FALSE,"contingent-benficiary_phone-number","contingent-benficiary_phone-number",10,,FALSE,,FALSE,"da347831-72fd-4ff0-9524-366679eb4628",17,0,185,406,390,,FALSE,FALSE
836522,"2024-02-19 20:39:15.487","2024-05-17 07:00:16.591","Email","contingent-benficiary_email","TextField",1047,1826,FALSE,"contingent-benficiary_email","contingent-benficiary_email",11,,FALSE,,FALSE,"54fccead-dd80-4d02-b3f3-e1dd35874f6a",17,0,244,68,372,,FALSE,FALSE
836537,"2024-02-19 20:39:15.49","2024-05-17 07:00:16.591","Name","contingent-benficiary_name","TextField",1047,1826,FALSE,"contingent-benficiary_name","contingent-benficiary_name",1,,FALSE,,FALSE,"4c75ee66-9edc-4a5b-bf0b-d21be29bdeae",17,0,245,67,444,,FALSE,FALSE
836538,"2024-02-19 20:39:15.49","2024-05-17 07:00:16.591","Relationship","contingent-benficiary_relationship","TextField",1047,1826,FALSE,"contingent-benficiary_relationship","contingent-benficiary_relationship",2,,FALSE,,FALSE,"3aee11ac-b4e9-4869-ba57-72861f31cc71",17,0,185,406,444,,FALSE,FALSE
836503,"2024-02-19 20:39:15.314","2024-05-17 07:00:16.591","Policy Number","general-information_policy-number","TextField",1047,1827,FALSE,"general-information_policy-number","general-information_policy-number",1,,FALSE,,FALSE,"03f2bdfc-be44-415d-bb7f-5f2db3e87af2",17,0,215,97,678,8,FALSE,FALSE
836505,"2024-02-19 20:39:15.425","2024-05-17 07:00:16.591","Email","general-information_email","TextField",1047,1827,FALSE,"general-information_email","general-information_email",5,,FALSE,,FALSE,"cc9b4a25-25e2-4911-934c-2159362135a2",17,0,215,97,642,10,FALSE,FALSE
836506,"2024-02-19 20:39:15.315","2024-05-17 07:00:16.591","Annuitant Name","general-information_annuitant-name","TextField",1047,1827,FALSE,"general-information_annuitant-name","general-information_annuitant-name",3,,FALSE,,FALSE,"8499e3bd-4382-4d9b-9d71-4d410fc1183b",17,0,215,97,660,5,FALSE,FALSE
836507,"2024-02-19 20:39:15.314","2024-05-17 07:00:16.591","SSN","general-information_SSN","TextField",1047,1827,FALSE,"general-information_SSN","general-information_ssn",2,,FALSE,,FALSE,"d8180997-40ba-43b7-9953-292fce398cbe",17,0,181,409,678,6,FALSE,FALSE
836508,"2024-02-19 20:39:15.397","2024-05-17 07:00:16.591","Date of Birth","general-information_DOB","TextField",1047,1827,FALSE,"general-information_DOB","general-information_dob",4,,FALSE,,FALSE,"38cb1508-c30d-48fd-bc34-aaa836abd570",17,0,181,409,660,7,FALSE,FALSE
836524,"2024-02-19 20:39:15.487","2024-05-17 07:00:16.591","Phone Number","general-information_phone-number","TextField",1047,1827,FALSE,"general-information_phone-number","general-information_phone-number",6,,FALSE,,FALSE,"6f2c3d1c-b253-45d6-89e7-4333043cbe33",17,0,181,409,642,9,FALSE,FALSE
836523,"2024-02-19 20:39:15.487","2024-05-17 07:00:16.591","City","primary-benficiary_city","TextField",1047,1828,FALSE,"primary-benficiary_city","primary-benficiary_city",5,,FALSE,,FALSE,"ff3cfaf3-9ea2-4145-b8b9-cb46c4a762d3",17,0,71,68,534,,FALSE,FALSE
836525,"2024-02-19 20:39:15.487","2024-05-17 07:00:16.591","Name","primary-benficiary_name","TextField",1047,1828,FALSE,"primary-benficiary_name","primary-benficiary_name",1,,FALSE,,FALSE,"84f9f512-67fd-4523-a585-5baea85b9424",17,0,244,68,588,,FALSE,FALSE
836526,"2024-02-19 20:39:15.488","2024-05-17 07:00:16.591","Relationship","primary-benficiary_relationship","TextField",1047,1828,FALSE,"primary-benficiary_relationship","primary-benficiary_relationship",2,,FALSE,,FALSE,"37832f00-5761-485a-b7a0-dd037d22a97e",17,0,185,406,588,,FALSE,FALSE
836527,"2024-02-19 20:39:15.488","2024-05-17 07:00:16.591","Address 2","primary-benficiary_address-2","TextField",1047,1828,FALSE,"primary-benficiary_address-2","primary-benficiary_address-2",4,,FALSE,,FALSE,"90b4ff06-d624-4383-9976-5f5f741a9f52",17,0,244,68,552,,FALSE,FALSE
836528,"2024-02-19 20:39:15.488","2024-05-17 07:00:16.591","Address","primary-benficiary_address","TextField",1047,1828,FALSE,"primary-benficiary_address","primary-benficiary_address",3,,FALSE,,FALSE,"c5e1524e-2a05-436c-b3ff-f2cacfdeda71",17,0,244,68,570,,FALSE,FALSE
836529,"2024-02-19 20:39:15.488","2024-05-17 07:00:16.591","Date of Birth","primary-benficiary_DOB","TextField",1047,1828,FALSE,"primary-benficiary_DOB","primary-benficiary_dob",8,,FALSE,,FALSE,"776f0a5b-6f55-4c91-8ede-99c9c86e555e",17,0,185,406,570,,FALSE,FALSE
836530,"2024-02-19 20:39:15.489","2024-05-17 07:00:16.591","SSN","primary-benficiary_SSN","TextField",1047,1828,FALSE,"primary-benficiary_SSN","primary-benficiary_ssn",9,,FALSE,,FALSE,"b2250e68-c208-46e4-b552-05a9ee0467e5",17,0,185,406,552,,FALSE,FALSE
836531,"2024-02-19 20:39:15.489","2024-05-17 07:00:16.591","Email","primary-benficiary_email","TextField",1047,1828,FALSE,"primary-benficiary_email","primary-benficiary_email",11,,FALSE,,FALSE,"a082a5d8-8caa-412e-ac2d-7d797b6930a9",17,0,244,68,516,,FALSE,FALSE
836532,"2024-02-19 20:39:15.489","2024-05-17 07:00:16.591","Phone Number","primary-benficiary_phone-number","TextField",1047,1828,FALSE,"primary-benficiary_phone-number","primary-benficiary_phone-number",10,,FALSE,,FALSE,"0752b3c5-e3a4-4133-8f79-b41e49aaf05a",17,0,185,406,534,,FALSE,FALSE
836533,"2024-02-19 20:39:15.489","2024-05-17 07:00:16.591","ZIP","primary-benficiary_ZIP","TextField",1047,1828,FALSE,"primary-benficiary_ZIP","primary-benficiary_zip",7,,FALSE,,FALSE,"6d999afb-5ade-42e7-ad95-5674e9f4bb31",17,0,58,254,534,,FALSE,FALSE
836534,"2024-02-19 20:39:15.489","2024-05-17 07:00:16.591","State","primary-benficiary_state","TextField",1047,1828,FALSE,"primary-benficiary_state","primary-benficiary_state",6,,FALSE,,FALSE,"a12c8f8a-08fa-495d-af06-0a3a0e432c89",17,0,19,184,534,,FALSE,FALSE
836535,"2024-02-19 20:39:15.489","2024-05-17 07:00:16.591","Percentage","primary-benficiary_percentage","TextField",1047,1828,FALSE,"primary-benficiary_percentage","primary-benficiary_percentage",13,,FALSE,,FALSE,"dab4d5e3-bd3d-469c-b8e7-aa995227a6e6",17,0,87,504,516,,FALSE,FALSE
836536,"2024-02-19 20:39:15.49","2024-05-17 07:00:16.591","Gender","primary-benficiary_gender","TextField",1047,1828,FALSE,"primary-benficiary_gender","primary-benficiary_gender",12,,FALSE,,FALSE,"8a0d49d4-03ca-49cf-8a29-cf9fc507efc7",17,0,56,406,516,,FALSE,FALSE
810231,"2024-01-31 19:46:29.68","2024-05-18 07:16:15.888","Full Name of Legal Entity","corporation_legal-entity-name","TextField",1410,2513,FALSE,"corporation_legal-entity-name","corporation_legal-entity-name",2,,FALSE,,FALSE,"0dd519ef-f4e2-4fdb-9eb4-b3bdf53133eb",16,0,401,173,538,,FALSE,FALSE
810233,"2024-01-31 19:46:29.68","2024-05-18 07:16:15.888","Policy / Contract Number(s)","corporation_policy-contract-number","TextField",1410,2513,FALSE,"corporation_policy-contract-number","corporation_policy-contract-number",1,,FALSE,,FALSE,"efa02aaf-1629-451b-be31-a29da4130ec2",16,0,394,177,562,,FALSE,FALSE
810234,"2024-01-31 19:46:29.923","2024-05-18 07:16:15.888","Full Address of Legal Entity","corporation_legal-entity-address","TextField",1410,2513,FALSE,"corporation_legal-entity-address","corporation_legal-entity-address",3,,FALSE,,FALSE,"c9ec8e68-283f-4503-bebf-fa92a1ef7e66",16,0,391,183,516,,FALSE,FALSE
810235,"2024-01-31 19:46:29.681","2024-05-18 07:16:15.888","Phone Number of Legal Entity","corporation_legal-entity-phone","TextField",1410,2513,FALSE,"corporation_legal-entity-phone","corporation_legal-entity-phone",4,,FALSE,,FALSE,"3858bc9e-a7ed-4c63-b670-f4e8677eb216",16,0,377,197,494,,FALSE,FALSE
810236,"2024-01-31 19:46:29.921","2024-05-18 07:16:15.888","Tax Identification Number (TIN) of Legal Entity","corporation_legal-entity-TIN","TextField",1410,2513,FALSE,"corporation_legal-entity-TIN","corporation_legal-entity-tin",5,,FALSE,,FALSE,"fe457c81-5b6b-4754-8da1-09936aa8c2f4",16,0,306,268,472,,FALSE,FALSE
810249,"2024-01-31 19:46:30.164","2024-05-18 07:16:15.888","Name of the Person(s) opening the annuity or naming the Legal Entity as Beneficiary","beneficial-certification_person-name","TextField",1410,2515,FALSE,"beneficial-certification_person-name","beneficial-certification_person-name",1,,FALSE,,FALSE,"b8c46ccf-fa08-42bb-96b4-75c4b7127690",15,1,537,37,649,,FALSE,FALSE
